time,raw_text,expanded,top_conf,kb_match_score
2025-11-22T04:28:22.046989,when is the semester exam starts,when is the semester exam start examination test midterm,0.2991361304012727,0.6614662393386818
2025-11-22T04:28:35.619176,tell me the timetable,tell me the timetable,0.34159156589007605,0.28386525713526445
2025-11-22T05:18:27.049292,when is the exam,when is the exam examination test midterm semester,0.3295121571885343,0.5271776073617869
2025-11-22T05:32:43.212039,when is megaplay,when is megaplay,0.3221592425444375,0.2487475650196588
2025-11-22T05:33:41.739486,what are hostel timings,what are hostel timing accommodation room mess,0.31747754841032416,0.2727937825060302
2025-11-22T05:35:55.454236,where can i ask about scholorship,where can i ask about scholorship,0.32388502794972324,0.0
2025-11-22T05:36:09.254445,What scholarships are available?,what scholarship are available scholarships financial aid fellowship,0.31747754841032416,0.2727937825060302
2025-11-22T05:36:42.949510,",Is WiFi available in hostel?",is wifi available in hostel accommodation room mess,0.29803814207430523,0.743976688718347
2025-11-22T05:36:52.779783,Is BTech CSE available?,is btech cse available,0.32189371632875596,0.5746755345710084
2025-11-22T05:37:02.773173,When are semester exams conducted?,when are semester exam conducted examination test midterm,0.31293560650682806,0.8244705268382502
2025-11-22T05:37:16.423245,What is the minimum attendance required?,what is the minimum attendance required present absent attendance%,0.4262838981760055,0.650079810988433
2025-11-22T05:37:51.146688,What documents are needed for admission?,what document are needed for admission admissions apply application enroll enrolment,0.39255216080673205,0.23079758953428614
2025-11-22T05:38:00.699166,What is the admission helpline number?,what is the admission helpline number admissions apply application enroll enrolment,0.37519816051655686,0.5488639086555158
2025-11-22T05:38:09.809397,"Is there any entrance exam?,",is there any entrance exam examination test midterm semester,0.31485498807820067,0.43970011143027476
2025-11-22T06:01:32.458946,when does semester starts?,when doe semester start exam examination test midterm,0.07447320523415746,0.47537203200076356
2025-11-22T06:02:24.938835,what is the minimum attendance percentage,what is the minimum attendance percentage present absent attendance%,0.06362951774817066,0.3002268297553288
2025-11-22T06:03:31.463680,whendoes  the semester exam ends?,whendoes the semester exam end examination test midterm,0.07722345991358669,0.5175195183963854
2025-11-22T06:04:27.635506,can you give me the academic calender,can you give me the academic calender,0.06208698435851271,0.28626210842593924
2025-11-22T06:17:29.095733,when does the semester exam starts,when does the semester exam starts examination test midterm,0.2176625183246633,0.08044838726877784
2025-11-22T06:42:42.380096,when does the exam starts?,when does the exam starts examination test midterm semester,0.16365473609130538,0.29428025229278104
2025-11-22T06:43:29.267718,give my exam timetable,give my exam timetable examination test midterm semester,0.23021811230090924,0.0
2025-11-22T06:57:38.394299,when does the semester exam starts,when does the semester exam starts examination test midterm,0.0665452299735365,0.28211354387123816
2025-11-22T06:58:05.962754,what is the min attendance,what is the min attendance present absent attendance%,0.08340621486033463,0.7529654565097653
2025-11-22T06:59:13.128231,when admission staarts for this year?,when admission staarts for this year admissions apply application enroll enrolment,0.06429130473241108,0.33673501269006584
2025-11-22T06:59:31.490966,how can i apply for it,how can i apply for it admission admissions application enroll enrolment,0.0701854779032379,0.48692860215184613
2025-11-22T07:00:09.190070,mess timing today?,mess timing today hostel accommodation room,0.06991422091672032,0.3357382600913371
2025-11-22T07:01:21.647561,is 74 eligible for exam?,is 74 eligible for exam examination test midterm semester,0.07017414343034747,0.306312666814742
2025-11-22T07:02:56.712297,wht is fee structuure?,wht is fee structuure fees tuition cost charge charges payment,0.07674471290499416,0.5819842857692827
2025-11-22T07:03:21.655566,last date for fee payment,last date for fee payment fees tuition cost charge charges,0.07111276190664316,0.5107043467421247
2025-11-22T07:03:46.317286,do we have  christmas holidays,do we have christmas holidays,0.05491387132256624,0.2743482632761622
2025-11-22T07:04:49.372145,what about placements?,what about placements,0.05198699458536118,0.16226252996447674
2025-11-22T07:05:05.618179,how is placements in college,how is placements in college,0.05267399658659668,0.13140177866508665
2025-11-22T07:05:21.182587,what about placementts,what about placementts,0.05198699458536118,0.16226252996447674
2025-11-22T07:05:42.848221,how is placements in our college?,how is placements in our college,0.05267399658659668,0.13140177866508665
2025-11-22T07:05:57.384943,how to apply for hostel,how to apply for hostel admission admissions application enroll enrolment accommodation room mess,0.06967321100972246,0.45123260212551486
2025-11-22T07:06:17.489539,how to contact deparment,how to contact deparment,0.06623199012274263,0.4684737888338298
2025-11-22T07:06:36.827057,i cannot login to eduserve,i cannot login to eduserve,0.05229991479393061,0.302923283076301
2025-11-22T07:06:56.598691,i cannto login to our portal,i cannto login to our portal,0.05957399377275665,0.24272663598001476
2025-11-22T07:07:11.474233,library timing?,library timing,0.0713522340278465,0.4516484186151363
2025-11-22T07:07:31.448875,what is bus timing?,what is bus timing,0.06644416153178549,0.4214485378542743
2025-11-22T07:10:08.940343,"""How do I enroll in the college?""",how do i enroll in the college admission admissions apply application enrolment,0.06537322136387591,0.3281978353006166
2025-11-22T07:10:30.533259,"""What are the charges for the course?""",what are the charges for the course fee fees tuition cost charge payment,0.06572502554180625,0.47067097652103623
2025-11-22T07:10:39.868126,"""Is there any hostel accommodation?""",is there any hostel accommodation room mess,0.06595141751340901,0.34813594565977707
2025-11-22T07:13:04.529028,"""What is the hostel fee and how do I apply for admission?""",what is the hostel fee and how do i apply for admission accommodation room mess fees tuition cost charge charges payment admissions application enroll enrolment,0.06695795777266154,0.4776404403542955
2025-11-22T07:14:16.719977,"""What is the formula of photosynthesis?""",what is the formula of photosynthesis,0.05255048597436695,0.2438379217313421
2025-11-22T07:16:28.923030,"""Tell me about hostel.""",tell me about hostel accommodation room mess,0.06297959119194693,0.3298929793765649
2025-11-22T07:16:46.314519,"""What about the fees?""",what about the fees fee tuition cost charge charges payment,0.06648880480243634,0.42591016228194956
2025-11-22T07:16:58.796769,"""How about the admission process?""",how about the admission process admissions apply application enroll enrolment,0.06697481710783303,0.29377389797214715
2025-11-22T07:17:13.869184,"""And how can I apply?""",and how can i apply admission admissions application enroll enrolment,0.06886930903007643,0.41672803447325674
2025-11-22T09:27:32.021182,"""How do I enroll in the college?",how enroll admission admissions apply i application college the do enrolment join in registration,0.06294968340469931,0.3148116132337536
2025-11-22T09:27:45.623517,What are the charges for the course?,fees pay are charges tuition bill fee course for the cost payment what amount,0.06683185695516303,0.4856965592382048
2025-11-22T09:28:04.604820,Is there any hostel accommodation?,mess lodging is there accommodation stay hostel any room,0.06791611710731926,0.3800118470129907
2025-11-22T09:29:48.187095,Is there any hostel accommodation?,mess lodging is there accommodation stay hostel any room,0.06791611710731926,0.3800118470129907
2025-11-22T09:30:35.098190,"""What is the hostel fee and how do I apply for admission?",enroll bill application for room admissions tuition cost payment the enrolment what pay join mess fees how is charges do stay admission lodging apply i fee accommodation hostel registration and amount,0.06098154317716351,0.3325675626132933
2025-11-22T09:32:24.173388,"""What is the formula of photosynthesis?""",is formula the of what photosynthesis,0.05286339372086211,0.2376462543545746
2025-11-22T09:33:23.123863,"""Tell me about hostel.""",mess lodging me tell about accommodation stay hostel room,0.06637736973514344,0.33160215209627225
2025-11-22T09:33:33.384526,"""What about the fees?""",fees pay tuition charges bill fee cost payment about the what amount,0.06694598111349492,0.4478651840708666
